   Pos X,   Pos Y,OffsetX(um),OffsetY(um),Height(um),Area(um2),Volume(um3), Area(%),Volume(%),  Result,Component ID,  PCB ID,    Time, PrintNo: 1  ID(1)
52.675,75.38,17.874,30.246,123.257,108046,13317480,94.26,91.482,              GOOD,  B3_PTF_A,1,4/2/2024 15:16,
34.255,36.683,31.039,45.775,124.434,106499,13252090,92.91,91.033,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
46.168,36.683,24.851,48.652,115.511,107767,12448250,94.016,85.511,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
40.211,37.419,22.395,44.233,106.531,111956,11926750,97.671,81.929,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
58.08,36.683,21.95,47.728,113.936,112691,12839540,98.312,88.199,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
52.124,37.419,24.563,47.768,111.176,114468,12726130,99.862,87.42,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
58.08,43.287,18.059,32.356,103.051,114714,11821430,100.077,81.205,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
46.168,43.287,21.705,29.11,104.062,109316,11375660,95.368,78.143,        W.Insuffi.,  B3_PTF_C,1,4/2/2024 15:16,
52.124,44.023,23.135,37.651,122.214,111759,13658440,97.499,93.824,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
40.211,44.023,26.075,33.913,125.629,105823,13294490,92.321,91.324,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
34.255,43.287,12.858,32.854,112.246,105604,11853620,92.129,81.426,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
40.211,90.378,20.985,29.964,125.11,107533,13453540,93.813,92.417,              GOOD,  B3_PTF_D,1,4/2/2024 15:16,
34.255,89.642,11.775,35.5,106.108,108846,11549360,94.957,79.336,        W.Insuffi.,  B3_PTF_D,1,4/2/2024 15:16,
52.124,90.378,18.694,32.614,127.369,110313,14050450,96.237,96.517,              GOOD,  B3_PTF_D,1,4/2/2024 15:16,
46.168,89.642,16.6,33.249,106.476,108624,11565940,94.764,79.45,        W.Insuffi.,  B3_PTF_D,1,4/2/2024 15:16,
58.08,89.642,13.945,28.644,103.687,107149,11109930,93.477,76.318,        W.Insuffi.,  B3_PTF_D,1,4/2/2024 15:16,
52.124,83.774,17.561,21.145,113.284,111227,12600270,97.035,86.555,              GOOD,  B3_PTF_D,1,4/2/2024 15:16,
58.08,83.038,14.278,27.967,121.78,108547,13218800,94.697,90.804,              GOOD,  B3_PTF_D,1,4/2/2024 15:16,
40.211,83.774,16.592,25.01,110.501,109861,12139760,95.843,83.392,              GOOD,  B3_PTF_D,1,4/2/2024 15:16,
46.168,83.038,16.825,25.91,125.738,106734,13420450,93.115,92.189,              GOOD,  B3_PTF_D,1,4/2/2024 15:16,
34.255,83.038,17.001,31.076,121.273,106675,12936740,93.064,88.867,              GOOD,  B3_PTF_D,1,4/2/2024 15:16,
176.045,79.342,43.301,29.44,92.271,445807,41135090,104.726,76.088,        W.Insuffi.,  B1_PTF_D,1,4/2/2024 15:16,
184.377,79.342,50.7,30.697,95.066,421365,40057580,98.984,74.095,        W.Insuffi.,  B1_PTF_D,1,4/2/2024 15:16,
187.958,79.342,51.259,31.045,96.117,425412,40889140,99.935,75.633,        W.Insuffi.,  B1_PTF_D,1,4/2/2024 15:16,
196.289,79.342,49.364,34.074,93.444,436826,40818700,102.616,75.503,        W.Insuffi.,  B1_PTF_D,1,4/2/2024 15:16,
193.914,94.074,60.121,41.131,104.609,460424,48164320,108.16,89.09,              GOOD,  B1_PTF_D,1,4/2/2024 15:16,
190.333,94.074,58.24,38.587,105.219,442154,46523120,103.868,86.054,              GOOD,  B1_PTF_D,1,4/2/2024 15:16,
182.002,94.074,57.426,36.237,101.282,447901,45364140,105.218,83.911,              GOOD,  B1_PTF_D,1,4/2/2024 15:16,
178.42,94.074,57.992,35.747,105.652,450016,47544910,105.715,87.944,              GOOD,  B1_PTF_D,1,4/2/2024 15:16,
178.42,47.719,47.823,33.918,91.062,452513,41206530,106.301,76.22,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
182.002,47.719,57.404,28.711,99.581,432544,43073170,101.611,79.673,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
190.333,47.719,53.182,23.267,99.434,426385,42397020,100.164,78.422,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
193.914,47.719,49.397,30.378,96.641,431565,41706680,101.38,77.145,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
196.289,32.987,45.806,42.717,98.566,437281,43101150,102.723,79.725,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
187.958,32.987,57.367,43.191,89.555,438039,39228590,102.901,72.562,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
184.377,32.987,54.764,45.15,90.991,438139,39866580,102.925,73.742,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
176.045,32.987,53.912,36.523,94.682,428591,40579700,100.682,75.061,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
106.045,79.342,37.194,26.06,108.158,445769,48213480,104.717,89.181,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
114.377,79.342,40.91,33.137,108.567,441478,47929850,103.709,88.656,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
117.958,79.342,42.935,31.712,107.064,441549,47274200,103.726,87.444,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
126.289,79.342,41.497,26.725,107.208,453056,48571140,106.429,89.843,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
123.914,94.074,41.616,44.657,108.934,440796,48017740,103.549,88.819,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
120.333,94.074,45.616,41.687,105.552,447615,47246690,105.151,87.393,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
112.002,94.074,47.033,31.836,109.222,459346,50170680,107.907,92.801,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
108.42,94.074,46.437,45.087,109.36,450216,49235660,105.762,91.072,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
108.42,47.719,40.196,47.366,107.651,449314,48369130,105.55,89.469,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
112.002,47.719,45.633,40.374,105.22,453783,47746860,106.6,88.318,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
120.333,47.719,43.212,36.115,110.184,445381,49073780,104.626,90.772,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
123.914,47.719,43.528,36.762,113.807,444673,50607040,104.46,93.608,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
126.289,32.987,38.631,47.734,104.626,451299,47217460,106.016,87.339,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
117.958,32.987,45.812,46.498,107.529,460013,49464520,108.063,91.495,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
114.377,32.987,47.079,45.353,101.796,454494,46265690,106.767,85.578,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
106.045,32.987,44.829,35.858,106.82,447275,47777690,105.071,88.375,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
36.046,32.987,35.086,36.786,108.394,438423,47522520,102.991,87.903,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
44.377,32.987,37.505,52.975,106.054,448848,47601960,105.44,88.05,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
47.958,32.987,36.766,35,108.41,459457,49809800,107.933,92.134,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
56.289,32.987,32.753,45.94,110.315,454439,50131500,106.754,92.729,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
53.915,47.719,34.422,49.154,110.786,448080,49640790,105.26,91.821,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
50.333,47.719,31.743,44.87,111.3,446004,49640250,104.772,91.82,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
42.002,47.719,30.914,40.724,110.059,440482,48478950,103.475,89.672,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
38.421,47.719,20.361,51.02,105.966,427693,45320940,100.471,83.831,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
38.421,94.074,20.77,34.733,110.136,423211,46610590,99.418,86.216,              GOOD,  B3_PTF_D,1,4/2/2024 15:16,
42.002,94.074,24.486,28.196,110.933,431748,47895060,101.424,88.592,              GOOD,  B3_PTF_D,1,4/2/2024 15:16,
50.333,94.074,22.909,55.316,110.608,424074,46906090,99.621,86.763,              GOOD,  B3_PTF_D,1,4/2/2024 15:16,
53.915,94.074,24.607,39.83,108.153,430156,46522440,101.049,86.053,              GOOD,  B3_PTF_D,1,4/2/2024 15:16,
56.289,79.342,27.165,37.085,106.255,449438,47754980,105.579,88.333,              GOOD,  B3_PTF_D,1,4/2/2024 15:16,
47.958,79.342,28.834,27.043,108.792,437077,47550390,102.675,87.955,              GOOD,  B3_PTF_D,1,4/2/2024 15:16,
44.377,79.342,27.577,27.307,110.803,420180,46557270,98.706,86.118,              GOOD,  B3_PTF_D,1,4/2/2024 15:16,
36.046,79.342,16.89,37.263,112.74,417167,47031280,97.998,86.994,              GOOD,  B3_PTF_D,1,4/2/2024 15:16,
176.591,79.342,53.52,22.421,95.287,380796,36284960,97.596,73.225,        W.Insuffi.,  B1_PTF_D,1,4/2/2024 15:16,
183.83,79.342,51.23,28.19,92.785,392285,36398300,100.54,73.454,        W.Insuffi.,  B1_PTF_D,1,4/2/2024 15:16,
188.504,79.342,54.509,20.242,92.663,399704,37037760,102.442,74.744,        W.Insuffi.,  B1_PTF_D,1,4/2/2024 15:16,
195.743,79.342,53.383,30.503,94.594,403323,38152080,103.369,76.993,        W.Insuffi.,  B1_PTF_D,1,4/2/2024 15:16,
194.46,94.074,54.437,43.001,103.418,418283,43257870,107.203,87.297,              GOOD,  B1_PTF_D,1,4/2/2024 15:16,
189.787,94.074,53.869,36.537,105.497,411162,43376370,105.378,87.536,              GOOD,  B1_PTF_D,1,4/2/2024 15:16,
182.548,94.074,66.046,36.687,101.262,403610,40870330,103.443,82.479,              GOOD,  B1_PTF_D,1,4/2/2024 15:16,
177.874,94.074,62.39,40.013,101.331,414015,41952360,106.109,84.662,              GOOD,  B1_PTF_D,1,4/2/2024 15:16,
177.874,47.719,42.743,30.753,91.826,415257,38131300,106.428,76.951,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
182.548,47.719,55.385,27.429,97.014,386916,37536150,99.164,75.75,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
189.787,47.719,52.837,24.257,100.046,401327,40151260,102.858,81.028,              GOOD,  B1_PTF_C,1,4/2/2024 15:16,
194.46,47.719,55.592,25.131,98.193,408305,40092890,104.646,80.91,              GOOD,  B1_PTF_C,1,4/2/2024 15:16,
195.743,32.987,49.5,43.03,97.195,408459,39700300,104.685,80.118,              GOOD,  B1_PTF_C,1,4/2/2024 15:16,
188.504,32.987,51.266,36.697,95.015,395872,37613810,101.459,75.907,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
183.83,32.987,61.089,42.84,92.7,395601,36672380,101.39,74.007,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
176.591,32.987,59.486,43.142,90.905,399570,36323010,102.407,73.302,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
106.592,79.342,40.166,29.651,110.194,398794,43944820,102.208,88.683,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
113.831,79.342,44.029,31.41,103.71,403593,41856550,103.438,84.469,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
118.504,79.342,42.766,32.809,107.611,412276,44365470,105.664,89.532,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
125.743,79.342,44.461,30.51,104.605,412924,43194090,105.83,87.168,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
124.46,94.074,45.162,38.367,106.453,421922,44914900,108.136,90.641,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
119.787,94.074,44.336,42.059,107.69,414621,44650570,106.265,90.108,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
112.548,94.074,50.864,36.133,105.818,423564,44820590,108.557,90.451,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
107.874,94.074,50.516,44.661,104.481,418938,43771120,107.371,88.333,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
107.874,47.719,37.234,30.342,106.882,427150,45654770,109.476,92.134,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
112.548,47.719,41.925,45.117,108.203,413139,44702900,105.885,90.213,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
119.787,47.719,43.728,45.17,108.916,415692,45275620,106.539,91.369,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
124.46,47.719,45.785,34.951,106.756,414270,44225860,106.175,89.25,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
125.743,32.987,41.429,35.245,104.237,423550,44149520,108.553,89.096,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
118.504,32.987,41.786,48.199,105.117,416996,43833390,106.873,88.458,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
113.831,32.987,48.283,53.669,101.887,418852,42675780,107.349,86.122,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
106.592,32.987,49.946,37.76,104.28,417081,43493150,106.895,87.772,              GOOD,  B2_PTF_C,1,4/2/2024 15:16,
36.592,32.987,38.377,50.42,104.421,403606,42145000,103.442,85.051,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
43.831,32.987,39.972,45.64,103.232,416824,43029680,106.829,86.837,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
48.504,32.987,33.245,49.066,107.271,420029,45057140,107.651,90.928,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
55.743,32.987,33.099,41.006,105.142,430399,45253110,110.309,91.324,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
54.461,47.719,35.772,47.948,106.442,416302,44311860,106.696,89.424,              GOOD,  B3_PTF_C,1,4/2/2024 15:16,
