   Pos X,   Pos Y,  Result
192.764,67.29,        W.Insuffi.
192.764,59.644,        W.Insuffi.
192.764,55.377,        W.Insuffi.
193.322,61.333,        W.Insuffi.
193.322,53.688,        E.Insuffi.
199.368,55.377,        E.Insuffi.
199.926,53.688,        W.Insuffi.
199.926,61.333,        W.Insuffi.
199.368,59.644,        E.Insuffi.
199.368,67.29,        E.Insuffi.
199.926,65.601,        W.Insuffi.
199.368,71.557,        W.Insuffi.
199.926,73.246,        W.Insuffi.
179.606,73.246,        W.Insuffi.
179.048,71.557,        E.Insuffi.
179.606,65.601,        W.Insuffi.
179.048,67.29,        E.Insuffi.
179.048,59.644,        E.Insuffi.
179.606,61.333,        W.Insuffi.
179.606,53.688,        W.Insuffi.
179.048,55.377,        E.Insuffi.
173.002,53.688,        E.Insuffi.
173.002,61.333,        W.Insuffi.
172.444,55.377,        W.Insuffi.
172.444,59.644,        W.Insuffi.
172.444,67.29,        W.Insuffi.
173.002,65.601,        W.Insuffi.
173.002,73.246,        W.Insuffi.
172.444,71.557,        W.Insuffi.
108.077,83.127,        E.Insuffi.
106.388,83.685,        E.Insuffi.
114.034,83.685,        E.Insuffi.
112.345,83.127,        E.Insuffi.
119.99,83.127,        W.Insuffi.
124.257,83.127,        E.Insuffi.
118.301,83.685,        E.Insuffi.
125.946,83.685,        E.Insuffi.
124.257,89.731,        E.Insuffi.
125.946,90.289,        W.Insuffi.
118.301,90.289,        W.Insuffi.
119.99,89.731,        E.Insuffi.
112.345,89.731,        W.Insuffi.
114.034,90.289,        W.Insuffi.
108.077,89.731,        E.Insuffi.
106.388,90.289,        W.Insuffi.
106.388,43.934,        W.Insuffi.
108.077,43.376,        W.Insuffi.
114.034,43.934,              GOOD
112.345,43.376,        W.Insuffi.
119.99,43.376,        W.Insuffi.
118.301,43.934,              GOOD
125.946,43.934,        W.Insuffi.
124.257,43.376,              GOOD
125.946,37.33,        W.Insuffi.
118.301,37.33,        W.Insuffi.
124.257,36.772,        W.Insuffi.
119.99,36.772,        E.Insuffi.
112.345,36.772,              GOOD
114.034,37.33,        W.Insuffi.
106.388,37.33,        W.Insuffi.
108.077,36.772,        W.Insuffi.
122.764,71.557,        W.Insuffi.
123.323,73.246,        W.Insuffi.
123.323,65.601,        W.Insuffi.
122.764,67.29,        E.Insuffi.
122.764,59.644,        W.Insuffi.
122.764,55.377,        W.Insuffi.
123.323,61.333,        E.Insuffi.
123.323,53.688,        W.Insuffi.
129.368,55.377,        E.Insuffi.
129.927,53.688,              GOOD
129.927,61.333,        W.Insuffi.
129.368,59.644,        E.Insuffi.
129.368,67.29,        E.Insuffi.
129.927,65.601,        W.Insuffi.
129.368,71.557,        E.Insuffi.
129.927,73.246,        W.Insuffi.
109.607,73.246,              GOOD
109.048,71.557,        E.Insuffi.
109.607,65.601,        E.Insuffi.
109.048,67.29,        W.Insuffi.
109.048,59.644,        W.Insuffi.
109.607,61.333,        W.Insuffi.
109.607,53.688,        W.Insuffi.
109.048,55.377,        E.Insuffi.
103.003,53.688,        W.Insuffi.
103.003,61.333,              GOOD
102.444,55.377,              GOOD
102.444,59.644,        E.Insuffi.
102.444,67.29,        E.Insuffi.
103.003,65.601,        W.Insuffi.
103.003,73.246,        E.Insuffi.
102.444,71.557,              GOOD
32.444,71.557,        E.Insuffi.
33.003,73.246,        E.Insuffi.
33.003,65.601,        E.Insuffi.
32.444,67.29,        E.Insuffi.
32.444,59.644,        E.Insuffi.
32.444,55.377,        E.Insuffi.
